"District Name","School Name",Content,Grade,"Participation Rate","Percent Did Not Yet Meet Expectations",2022,2019,"Change 2019 to 2022"
"All Districts","All Schools","English Language Arts","All Grades",88.4,14.7,43.2,45.8,"  -2.6"
"All Districts","All Schools","English Language Arts",03,93.7,22.1,40.7,41.3,"  -0.6"
"All Districts","All Schools","English Language Arts",04,93.2,15.1,44.1,48.0,"  -3.9"
"All Districts","All Schools","English Language Arts",05,92.5,8.2,45.4,48.4,"  -3.0"
"All Districts","All Schools","English Language Arts",06,88.9,11.5,43.0,43.6,"  -0.6"
"All Districts","All Schools","English Language Arts",07,84.8,15.1,41.8,46.5,"  -4.7"
"All Districts","All Schools","English Language Arts",08,78.5,16.7,43.9,46.9,"  -3.0"
"All Districts","All Schools",Mathematics,"All Grades",88.5,18.1,31.5,34.7,"  -3.2"
"All Districts","All Schools",Mathematics,03,93.9,18.7,39.4,41.0,"  -1.6"
"All Districts","All Schools",Mathematics,04,93.3,18.0,30.7,33.6,"  -2.9"
"All Districts","All Schools",Mathematics,05,92.7,16.2,34.9,35.7,"  -0.8"
"All Districts","All Schools",Mathematics,06,88.9,20.3,26.3,29.5,"  -3.2"
"All Districts","All Schools",Mathematics,07,84.8,12.0,25.1,31.6,"  -6.5"
"All Districts","All Schools",Mathematics,08,78.7,23.6,32.4,36.9,"  -4.5"
"Mapleton 1","All Schools","English Language Arts","All Grades",77.6,26.0,21.0,27.6,"  -6.6"
"Mapleton 1","All Schools","English Language Arts",03,81.2,41.9,17.6,28.1," -10.5"
"Mapleton 1","All Schools","English Language Arts",04,83.6,28.9,19.4,32.2," -12.8"
"Mapleton 1","All Schools","English Language Arts",05,79.2,14.0,20.4,27.5,"  -7.1"
"Mapleton 1","All Schools","English Language Arts",06,80.2,12.0,27.8,24.5,"   3.3"
"Mapleton 1","All Schools","English Language Arts",07,74.8,27.1,22.2,24.7,"  -2.5"
"Mapleton 1","All Schools","English Language Arts",08,70.1,33.1,18.0,28.9," -10.9"
"Mapleton 1","All Schools",Mathematics,"All Grades",78.2,30.4,11.5,18.6,"  -7.1"
"Mapleton 1","All Schools",Mathematics,03,81.4,31.8,16.9,32.5," -15.6"
"Mapleton 1","All Schools",Mathematics,04,83.7,32.8,12.6,22.0,"  -9.4"
"Mapleton 1","All Schools",Mathematics,05,79.6,27.5,11.0,14.8,"  -3.8"
"Mapleton 1","All Schools",Mathematics,06,81.1,25.2,12.7,16.5,"  -3.8"
"Mapleton 1","All Schools",Mathematics,07,76.3,20.0,8.1,13.9,"  -5.8"
