"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"All Districts","All Schools","All Grades",Male,88.6,17.8,33.3
"All Districts","All Schools","All Grades",Female,88.4,18.4,29.5
"All Districts","All Schools",03,Male,93.3,18.2,41.6
"All Districts","All Schools",03,Female,94.5,19.1,37.1
"All Districts","All Schools",04,Male,92.9,17.2,33.7
"All Districts","All Schools",04,Female,93.7,19.0,27.6
"All Districts","All Schools",05,Male,92.5,15.9,38.0
"All Districts","All Schools",05,Female,92.8,16.4,31.7
"All Districts","All Schools",06,Male,88.9,19.5,28.3
"All Districts","All Schools",06,Female,88.9,21.2,24.2
"All Districts","All Schools",07,Male,85.5,11.3,25.7
"All Districts","All Schools",07,Female,84.0,12.7,24.4
"All Districts","All Schools",08,Male,79.8,24.8,32.5
"All Districts","All Schools",08,Female,77.4,22.3,32.2
"Mapleton 1","All Schools","All Grades",Male,77.4,28.0,12.7
"Mapleton 1","All Schools","All Grades",Female,79.0,32.8,10.3
"Mapleton 1","All Schools",03,Male,81.0,30.2,18.0
"Mapleton 1","All Schools",03,Female,81.7,33.5,15.8
"Mapleton 1","All Schools",04,Male,80.9,28.8,14.8
"Mapleton 1","All Schools",04,Female,86.6,36.6,10.3
"Mapleton 1","All Schools",05,Male,79.5,24.9,12.0
"Mapleton 1","All Schools",05,Female,79.6,30.0,10.1
"Mapleton 1","All Schools",06,Male,79.0,24.0,12.9
"Mapleton 1","All Schools",06,Female,83.6,26.5,12.4
"Mapleton 1","All Schools",07,Male,77.1,17.0,10.0
"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"All Districts","All Schools","All Grades",Male,88.6,17.8,33.3
"All Districts","All Schools","All Grades",Female,88.4,18.4,29.5
"All Districts","All Schools",03,Male,93.3,18.2,41.6
"All Districts","All Schools",03,Female,94.5,19.1,37.1
"All Districts","All Schools",04,Male,92.9,17.2,33.7
"All Districts","All Schools",04,Female,93.7,19.0,27.6
"All Districts","All Schools",05,Male,92.5,15.9,38.0
"All Districts","All Schools",05,Female,92.8,16.4,31.7
"All Districts","All Schools",06,Male,88.9,19.5,28.3
"All Districts","All Schools",06,Female,88.9,21.2,24.2
