District Name,School Name,Content,Grade,2023,2019,Change 2019 to 2023
Academy 20,All Schools,English Language Arts,All,60.4,62.0,-1.6
Academy 20,All Schools,English Language Arts,03,50.1,54.6,-4.5
Academy 20,All Schools,English Language Arts,04,58.8,64.3,-5.5
Academy 20,All Schools,English Language Arts,05,65.1,67.3,-2.2
Academy 20,All Schools,English Language Arts,06,58.9,55.2,3.7
Academy 20,All Schools,English Language Arts,07,67.1,66.0,1.1
Academy 20,All Schools,English Language Arts,08,62.9,64.7,-1.8
Academy 20,Academy Endeavour Elementary School,English Language Arts,All,53.7,60.5,-6.8
Academy 20,Academy Endeavour Elementary School,English Language Arts,03,53.1,48.5,4.6
Academy 20,Academy Endeavour Elementary School,English Language Arts,04,43.5,52.3,-8.8
Academy 20,Academy Endeavour Elementary School,English Language Arts,05,61.2,75.6,-14.4
Academy 20,Academy International Elementary School,English Language Arts,All,61.0,66.5,-5.5
Academy 20,Academy International Elementary School,English Language Arts,03,50.8,56.0,-5.2
Academy 20,Academy International Elementary School,English Language Arts,04,61.8,75.6,-13.8
Academy 20,Academy International Elementary School,English Language Arts,05,68.3,68.1,0.2
Academy 20,Challenger Middle School,English Language Arts,All,67.2,66.2,1
Academy 20,Challenger Middle School,English Language Arts,06,67.6,62.8,4.8
Academy 20,Challenger Middle School,English Language Arts,07,66.9,66.3,0.6
Academy 20,Challenger Middle School,English Language Arts,08,67.0,70.7,-3.7
Academy 20,Aspen Valley Campus,English Language Arts,All,*,28.6,*
Academy 20,Aspen Valley Campus,English Language Arts,08,*,17.9,*
Academy 20,Antelope Trails Elementary School,English Language Arts,All,65.5,62.7,2.8
Academy 20,Antelope Trails Elementary School,English Language Arts,03,54.8,56.0,-1.2
Academy 20,Antelope Trails Elementary School,English Language Arts,04,69.7,59.3,10.4
Academy 20,Antelope Trails Elementary School,English Language Arts,05,70.3,70.8,-0.5
Academy 20,Encompass Heights Elementary School,English Language Arts,All,47.7,*,*
Academy 20,Encompass Heights Elementary School,English Language Arts,03,41.6,*,*
Academy 20,Encompass Heights Elementary School,English Language Arts,04,46.6,*,*
Academy 20,Encompass Heights Elementary School,English Language Arts,05,56.0,*,*
Academy 20,Chinook Trail Middle School,English Language Arts,All,62.0,*,*
Academy 20,Chinook Trail Middle School,English Language Arts,06,57.4,*,*
Academy 20,Chinook Trail Middle School,English Language Arts,07,63.2,*,*
Academy 20,Chinook Trail Middle School,English Language Arts,08,66.3,*,*
Academy 20,Chinook Trail Elementary School,English Language Arts,All,58.7,75.2,-16.5
Academy 20,Chinook Trail Elementary School,English Language Arts,03,45.8,76.7,-30.9
Academy 20,Chinook Trail Elementary School,English Language Arts,04,54.7,68.9,-14.2
Academy 20,Chinook Trail Elementary School,English Language Arts,05,74.7,78.4,-3.7
Academy 20,The Classical Academy Charter,English Language Arts,All,74.5,66.7,7.8
Academy 20,The Classical Academy Charter,English Language Arts,03,66.3,60.2,6.1
Academy 20,The Classical Academy Charter,English Language Arts,04,78.5,69.4,9.1
Academy 20,The Classical Academy Charter,English Language Arts,05,77.9,74.1,3.8
Academy 20,The Classical Academy Charter,English Language Arts,06,76.4,64.8,11.6
Academy 20,The Classical Academy Middle School,English Language Arts,All,70.4,58.5,11.9
Academy 20,The Classical Academy Middle School,English Language Arts,07,66.3,53.3,13
Academy 20,The Classical Academy Middle School,English Language Arts,08,75.5,63.9,11.6
Academy 20,Journey K8,English Language Arts,All,70.1,47.6,22.5
Academy 20,Journey K8,English Language Arts,03,*,*,*
Academy 20,Journey K8,English Language Arts,04,*,*,*
Academy 20,Journey K8,English Language Arts,05,*,*,*
Academy 20,Journey K8,English Language Arts,06,64.7,31.6,33.1
Academy 20,Journey K8,English Language Arts,07,81.8,50.0,31.8
Academy 20,Journey K8,English Language Arts,08,*,45.2,*
Academy 20,Discovery Canyon Campus Middle School,English Language Arts,All,74.0,71.2,2.8
Academy 20,Discovery Canyon Campus Middle School,English Language Arts,06,66.4,65.1,1.3
Academy 20,Discovery Canyon Campus Middle School,English Language Arts,07,84.5,70.8,13.7
Academy 20,Discovery Canyon Campus Middle School,English Language Arts,08,71.0,77.3,-6.3
Academy 20,Discovery Canyon Campus Elementary School,English Language Arts,All,61.4,66.5,-5.1
Academy 20,Discovery Canyon Campus Elementary School,English Language Arts,03,50.0,58.2,-8.2
Academy 20,Discovery Canyon Campus Elementary School,English Language Arts,04,70.0,76.3,-6.3
Academy 20,Discovery Canyon Campus Elementary School,English Language Arts,05,63.6,65.4,-1.8
Academy 20,Douglass Valley Elementary School,English Language Arts,All,55.6,53.7,1.9
Academy 20,Douglass Valley Elementary School,English Language Arts,03,60.5,48.1,12.4
Academy 20,Douglass Valley Elementary School,English Language Arts,04,47.6,44.2,3.4
Academy 20,Douglass Valley Elementary School,English Language Arts,05,59.0,73.2,-14.2
Academy 20,Eagleview Middle School,English Language Arts,All,62.5,63.0,-0.5
Academy 20,Eagleview Middle School,English Language Arts,06,61.3,59.8,1.5
Academy 20,Eagleview Middle School,English Language Arts,07,63.5,66.1,-2.6
Academy 20,Eagleview Middle School,English Language Arts,08,62.7,63.1,-0.4
Academy 20,Edith Wolford Elementary School,English Language Arts,All,57.5,52.0,5.5
Academy 20,Edith Wolford Elementary School,English Language Arts,03,34.8,39.6,-4.8
Academy 20,Edith Wolford Elementary School,English Language Arts,04,69.2,53.5,15.7
Academy 20,Edith Wolford Elementary School,English Language Arts,05,53.2,59.6,-6.4
Academy 20,Explorer Elementary School,English Language Arts,All,54.8,68.2,-13.4
Academy 20,Explorer Elementary School,English Language Arts,03,51.4,65.8,-14.4
Academy 20,Explorer Elementary School,English Language Arts,04,44.3,72.5,-28.2
Academy 20,Explorer Elementary School,English Language Arts,05,71.2,66.7,4.5
Academy 20,Foothills Elementary School,English Language Arts,All,62.5,65.8,-3.3
Academy 20,Foothills Elementary School,English Language Arts,03,60.3,61.5,-1.2
Academy 20,Foothills Elementary School,English Language Arts,04,52.6,67.2,-14.6
Academy 20,Foothills Elementary School,English Language Arts,05,74.2,68.7,5.5
Academy 20,Frontier Elementary School,English Language Arts,All,42.3,40.0,2.3
Academy 20,Frontier Elementary School,English Language Arts,03,*,*,*
Academy 20,Frontier Elementary School,English Language Arts,04,*,*,*
Academy 20,Frontier Elementary School,English Language Arts,05,43.1,48.8,-5.7
Academy 20,High Plains Elementary School,English Language Arts,All,*,41.8,*
Academy 20,High Plains Elementary School,English Language Arts,03,41.5,*,*
Academy 20,High Plains Elementary School,English Language Arts,04,*,52.0,*
Academy 20,High Plains Elementary School,English Language Arts,05,*,*,*
Academy 20,Mountain Ridge Middle School,English Language Arts,All,48.3,48.1,0.2
Academy 20,Mountain Ridge Middle School,English Language Arts,06,43.0,43.8,-0.8
Academy 20,Mountain Ridge Middle School,English Language Arts,07,56.9,56.5,0.4
Academy 20,Mountain Ridge Middle School,English Language Arts,08,45.2,43.2,2
Academy 20,Mountain View Elementary School,English Language Arts,All,60.8,77.7,-16.9
Academy 20,Mountain View Elementary School,English Language Arts,03,49.1,63.1,-14
Academy 20,Mountain View Elementary School,English Language Arts,04,62.3,85.1,-22.8
Academy 20,Mountain View Elementary School,English Language Arts,05,71.7,84.8,-13.1
Academy 20,New Summit Charter Academy,English Language Arts,All,45.2,43.3,1.9
Academy 20,New Summit Charter Academy,English Language Arts,03,36.8,33.3,3.5
Academy 20,New Summit Charter Academy,English Language Arts,04,50.6,38.1,12.5
Academy 20,New Summit Charter Academy,English Language Arts,05,49.0,50.0,-1
Academy 20,New Summit Charter Academy,English Language Arts,06,47.4,52.4,-5
Academy 20,New Summit Charter Academy,English Language Arts,07,40.0,*,*
Academy 20,New Summit Charter Academy,English Language Arts,08,46.7,*,*
Academy 20,Legacy Peak Elementary School,English Language Arts,All,42.2,57.3,-15.1
Academy 20,Legacy Peak Elementary School,English Language Arts,03,32.4,53.1,-20.7
Academy 20,Legacy Peak Elementary School,English Language Arts,04,44.3,69.1,-24.8
Academy 20,Legacy Peak Elementary School,English Language Arts,05,49.5,51.8,-2.3
Academy 20,Pioneer Elementary School,English Language Arts,All,59.0,54.1,4.9
Academy 20,Pioneer Elementary School,English Language Arts,03,43.3,44.1,-0.8
Academy 20,Pioneer Elementary School,English Language Arts,04,56.0,61.8,-5.8
Academy 20,Pioneer Elementary School,English Language Arts,05,74.0,56.2,17.8
Academy 20,Prairie Hills Elementary School,English Language Arts,All,50.8,56.4,-5.6
Academy 20,Prairie Hills Elementary School,English Language Arts,03,40.3,41.4,-1.1
Academy 20,Prairie Hills Elementary School,English Language Arts,04,55.6,61.3,-5.7
Academy 20,Prairie Hills Elementary School,English Language Arts,05,56.2,63.1,-6.9
Academy 20,Ranch Creek Elementary,English Language Arts,All,58.9,65.4,-6.5
Academy 20,Ranch Creek Elementary,English Language Arts,03,54.3,59.2,-4.9
Academy 20,Ranch Creek Elementary,English Language Arts,04,55.4,67.3,-11.9
Academy 20,Ranch Creek Elementary,English Language Arts,05,66.3,68.4,-2.1
Academy 20,Rockrimmon Elementary School,English Language Arts,All,69.2,62.4,6.8
Academy 20,Rockrimmon Elementary School,English Language Arts,03,68.3,41.0,27.3
Academy 20,Rockrimmon Elementary School,English Language Arts,04,79.1,79.6,-0.5
Academy 20,Rockrimmon Elementary School,English Language Arts,05,62.0,68.3,-6.3
Academy 20,TCA College Pathways,English Language Arts,All,78.8,68.6,10.2
Academy 20,TCA College Pathways,English Language Arts,07,74.4,48.6,25.8
Academy 20,TCA College Pathways,English Language Arts,08,83.3,83.7,-0.4
Academy 20,The Da Vinci Academy School,English Language Arts,All,52.8,58.6,-5.8
Academy 20,The Da Vinci Academy School,English Language Arts,03,44.4,63.8,-19.4
Academy 20,The Da Vinci Academy School,English Language Arts,04,53.5,48.8,4.7
Academy 20,The Da Vinci Academy School,English Language Arts,05,60.0,64.3,-4.3
Academy 20,Timberview Middle School,English Language Arts,All,56.5,65.5,-9
Academy 20,Timberview Middle School,English Language Arts,06,45.3,43.4,1.9
Academy 20,Timberview Middle School,English Language Arts,07,70.4,79.6,-9.2
Academy 20,Timberview Middle School,English Language Arts,08,54.5,72.6,-18.1
Academy 20,Woodmen-Roberts Elementary School,English Language Arts,All,61.6,68.2,-6.6
Academy 20,Woodmen-Roberts Elementary School,English Language Arts,03,51.3,54.7,-3.4
Academy 20,Woodmen-Roberts Elementary School,English Language Arts,04,57.5,68.5,-11
Academy 20,Woodmen-Roberts Elementary School,English Language Arts,05,77.6,81.3,-3.7
Academy 20,All Schools,Mathematics,All,48.6,49.8,-1.2
Academy 20,All Schools,Mathematics,03,54.6,55.8,-1.2
Academy 20,All Schools,Mathematics,04,48.9,50.5,-1.6
Academy 20,All Schools,Mathematics,05,53.4,51.3,2.1
Academy 20,All Schools,Mathematics,06,43.9,40.8,3.1
Academy 20,All Schools,Mathematics,07,42.4,46.2,-3.8
Academy 20,All Schools,Mathematics,08,48.9,55.3,-6.4
Academy 20,Academy Endeavour Elementary School,Mathematics,All,52.8,51.4,1.4
Academy 20,Academy Endeavour Elementary School,Mathematics,03,58.7,45.5,13.2
Academy 20,Academy Endeavour Elementary School,Mathematics,04,41.3,50.0,-8.7
Academy 20,Academy Endeavour Elementary School,Mathematics,05,55.2,56.7,-1.5
Academy 20,Academy International Elementary School,Mathematics,All,50.0,58.3,-8.3
Academy 20,Academy International Elementary School,Mathematics,03,47.7,59.8,-12.1
Academy 20,Academy International Elementary School,Mathematics,04,36.4,60.0,-23.6
Academy 20,Academy International Elementary School,Mathematics,05,61.3,55.2,6.1
Academy 20,Challenger Middle School,Mathematics,All,49.9,56.4,-6.5
Academy 20,Challenger Middle School,Mathematics,06,56.9,55.1,1.8
Academy 20,Challenger Middle School,Mathematics,07,40.7,50.2,-9.5
Academy 20,Challenger Middle School,Mathematics,08,51.4,66.2,-14.8
Academy 20,Aspen Valley Campus,Mathematics,All,*,22.4,*
Academy 20,Aspen Valley Campus,Mathematics,08,*,28.6,*
Academy 20,Antelope Trails Elementary School,Mathematics,All,51.8,41.7,10.1
Academy 20,Antelope Trails Elementary School,Mathematics,03,56.1,40.0,16.1
Academy 20,Antelope Trails Elementary School,Mathematics,04,54.5,37.0,17.5
Academy 20,Antelope Trails Elementary School,Mathematics,05,47.7,46.9,0.8
Academy 20,Encompass Heights Elementary School,Mathematics,All,41.8,*,*
Academy 20,Encompass Heights Elementary School,Mathematics,03,45.5,*,*
Academy 20,Encompass Heights Elementary School,Mathematics,04,33.3,*,*
Academy 20,Encompass Heights Elementary School,Mathematics,05,46.1,*,*
Academy 20,Chinook Trail Middle School,Mathematics,All,45.3,*,*
Academy 20,Chinook Trail Middle School,Mathematics,06,38.5,*,*
Academy 20,Chinook Trail Middle School,Mathematics,07,43.8,*,*
Academy 20,Chinook Trail Middle School,Mathematics,08,55.6,*,*
Academy 20,Chinook Trail Elementary School,Mathematics,All,62.1,67.7,-5.6
Academy 20,Chinook Trail Elementary School,Mathematics,03,57.4,75.0,-17.6
Academy 20,Chinook Trail Elementary School,Mathematics,04,59.8,57.8,2
Academy 20,Chinook Trail Elementary School,Mathematics,05,68.7,68.8,-0.1
Academy 20,The Classical Academy Charter,Mathematics,All,66.1,59.2,6.9
Academy 20,The Classical Academy Charter,Mathematics,03,71.1,67.8,3.3
Academy 20,The Classical Academy Charter,Mathematics,04,67.6,60.7,6.9
Academy 20,The Classical Academy Charter,Mathematics,05,65.5,62.9,2.6
Academy 20,The Classical Academy Charter,Mathematics,06,59.1,43.7,15.4
Academy 20,The Classical Academy Middle School,Mathematics,All,47.3,50.3,-3
Academy 20,The Classical Academy Middle School,Mathematics,07,46.1,44.7,1.4
Academy 20,The Classical Academy Middle School,Mathematics,08,48.8,56.1,-7.3
Academy 20,Journey K8,Mathematics,All,*,31.1,*
Academy 20,Journey K8,Mathematics,03,*,*,*
Academy 20,Journey K8,Mathematics,04,*,*,*
Academy 20,Journey K8,Mathematics,05,*,*,*
Academy 20,Journey K8,Mathematics,06,52.9,26.3,26.6
Academy 20,Journey K8,Mathematics,07,54.5,33.3,21.2
Academy 20,Journey K8,Mathematics,08,*,19.4,*
Academy 20,Discovery Canyon Campus Middle School,Mathematics,All,53.8,51.7,2.1
Academy 20,Discovery Canyon Campus Middle School,Mathematics,06,53.9,41.6,12.3
Academy 20,Discovery Canyon Campus Middle School,Mathematics,07,52.5,41.8,10.7
Academy 20,Discovery Canyon Campus Middle School,Mathematics,08,55.2,71.6,-16.4
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,All,63.8,59.2,4.6
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,03,53.1,53.8,-0.7
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,04,75.0,71.3,3.7
Academy 20,Discovery Canyon Campus Elementary School,Mathematics,05,63.6,54.2,9.4
Academy 20,Douglass Valley Elementary School,Mathematics,All,49.2,50.0,-0.8
Academy 20,Douglass Valley Elementary School,Mathematics,03,63.4,53.7,9.7
Academy 20,Douglass Valley Elementary School,Mathematics,04,40.5,44.2,-3.7
Academy 20,Douglass Valley Elementary School,Mathematics,05,43.6,52.4,-8.8
Academy 20,Eagleview Middle School,Mathematics,All,48.8,47.5,1.3
Academy 20,Eagleview Middle School,Mathematics,06,45.7,41.0,4.7
Academy 20,Eagleview Middle School,Mathematics,07,44.4,51.3,-6.9
Academy 20,Eagleview Middle School,Mathematics,08,58.4,50.7,7.7
Academy 20,Edith Wolford Elementary School,Mathematics,All,45.5,42.9,2.6
Academy 20,Edith Wolford Elementary School,Mathematics,03,34.8,41.7,-6.9
Academy 20,Edith Wolford Elementary School,Mathematics,04,53.3,41.1,12.2
Academy 20,Edith Wolford Elementary School,Mathematics,05,38.3,48.1,-9.8
Academy 20,Explorer Elementary School,Mathematics,All,50.9,55.6,-4.7
Academy 20,Explorer Elementary School,Mathematics,03,58.9,73.1,-14.2
Academy 20,Explorer Elementary School,Mathematics,04,45.6,50.7,-5.1
Academy 20,Explorer Elementary School,Mathematics,05,48.5,42.3,6.2
Academy 20,Foothills Elementary School,Mathematics,All,55.4,52.8,2.6
Academy 20,Foothills Elementary School,Mathematics,03,64.4,60.0,4.4
Academy 20,Foothills Elementary School,Mathematics,04,45.8,46.3,-0.5
Academy 20,Foothills Elementary School,Mathematics,05,54.0,52.2,1.8
Academy 20,Frontier Elementary School,Mathematics,All,29.2,25.6,3.6
Academy 20,Frontier Elementary School,Mathematics,03,*,*,*
Academy 20,Frontier Elementary School,Mathematics,04,*,*,*
Academy 20,Frontier Elementary School,Mathematics,05,29.4,30.9,-1.5
Academy 20,High Plains Elementary School,Mathematics,All,37.1,33.5,3.6
Academy 20,High Plains Elementary School,Mathematics,03,53.7,40.0,13.7
Academy 20,High Plains Elementary School,Mathematics,04,*,*,*
Academy 20,High Plains Elementary School,Mathematics,05,*,*,*
Academy 20,Mountain Ridge Middle School,Mathematics,All,35.0,33.2,1.8
Academy 20,Mountain Ridge Middle School,Mathematics,06,32.2,28.0,4.2
Academy 20,Mountain Ridge Middle School,Mathematics,07,32.2,32.5,-0.3
Academy 20,Mountain Ridge Middle School,Mathematics,08,41.3,40.3,1
Academy 20,Mountain View Elementary School,Mathematics,All,59.4,68.2,-8.8
Academy 20,Mountain View Elementary School,Mathematics,03,51.4,65.7,-14.3
Academy 20,Mountain View Elementary School,Mathematics,04,61.7,73.3,-11.6
Academy 20,Mountain View Elementary School,Mathematics,05,65.7,65.7,0
Academy 20,New Summit Charter Academy,Mathematics,All,26.1,27.2,-1.1
Academy 20,New Summit Charter Academy,Mathematics,03,44.7,*,*
Academy 20,New Summit Charter Academy,Mathematics,04,23.6,*,*
Academy 20,New Summit Charter Academy,Mathematics,05,28.6,29.7,-1.1
Academy 20,New Summit Charter Academy,Mathematics,06,14.0,42.5,-28.5
Academy 20,New Summit Charter Academy,Mathematics,07,17.5,*,*
Academy 20,New Summit Charter Academy,Mathematics,08,16.7,*,*
Academy 20,Legacy Peak Elementary School,Mathematics,All,39.7,41.5,-1.8
Academy 20,Legacy Peak Elementary School,Mathematics,03,42.2,53.1,-10.9
Academy 20,Legacy Peak Elementary School,Mathematics,04,41.5,35.7,5.8
Academy 20,Legacy Peak Elementary School,Mathematics,05,35.6,30.4,5.2
Academy 20,Pioneer Elementary School,Mathematics,All,49.2,36.5,12.7
Academy 20,Pioneer Elementary School,Mathematics,03,38.3,44.1,-5.8
Academy 20,Pioneer Elementary School,Mathematics,04,36.0,33.3,2.7
Academy 20,Pioneer Elementary School,Mathematics,05,67.1,32.4,34.7
Academy 20,Prairie Hills Elementary School,Mathematics,All,49.2,41.7,7.5
Academy 20,Prairie Hills Elementary School,Mathematics,03,51.7,36.2,15.5
Academy 20,Prairie Hills Elementary School,Mathematics,04,50.0,46.2,3.8
Academy 20,Prairie Hills Elementary School,Mathematics,05,46.6,42.2,4.4
